amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
                                                       :mod (z21 / sekuler))))
             :time (z22 / entitas-tanggal)))"
"# ::id 41
# ::annotator indoamrbart-mbart-fted
# ::snt Dia mengalahkan kanker testis yang telah menyebar ke paru-paru dan otaknya.
(z0 / mengalahkan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Dia""))
    :ARG1 (z3 / kanker
              :mod (z4 / testis))
    :destination (z5 / dan
                     :op1 (z6 / paru-paru)
                     :op2 (z7 / otak
                              :poss z1)))"
"# ::id 42
# ::annotator indoamrbart-mbart-fted
# ::snt Sorkin, yang menghadapi tuduhan konspirasi untuk menghalangi keadilan dan berbohong kepada dewan juri, harus diadili secara terpisah.
(z0 / obligasi-01
    :ARG1 (z1 / coba-01
              :ARG1 (z2 / orang
                        :ARG0-of (z3 / memiliki-peran-rel-91
                                     :ARG2 (z4 / juri))))
    :ARG2 (z5 / coba-01
              :ARG1 (z6 / orang
                        :ARG0-of (z7 / memiliki-peran-rel-91
                                     :ARG2 (z8 / kinkinkin)))
              :ARG2 (z9 / coba-01
                        :ARG1 (z10 / orang
                                   :ARG0-of (z11 / memiliki-peran-org-91
                                                 :ARG2 (z12 / juri))))
              :manner (z13 / konspirasi)
              :purpose (z14 / dan
                            :op1 (z15 / menghalangi-01
                                      :ARG0 z1
                                      :ARG1 (z16 / keadilan))
                            :op2 (z17 / berbohong-01
                                      :ARG0 z1
                                      :ARG2 (z18 / juri))))
    :manner (z19 / terpisah))"
"# ::id 43
# ::annotator indoamrbart-mbart-fted
# ::snt Graves melaporkan dari Albuquerque, Villafranca dari Austin dan Ratcliffe dari Laredo.
(z0 / dan
    :op1 (z1 / melaporkan-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Villafranca""))
             :location (z4 / kota
                           :wiki ""Albuquerque""
                           :name (z5 / nama
                                     :op1 ""Albuquerque"")))
    :op2 (z6 / melaporkan-01
             :ARG0 (z7 / orang
                       :wiki -
                       :name (z8 / nama
                                 :op1 ""Ratcliffe""))
             :location (z9 / kota
                           :wiki ""Laredo""
                           :name (z10 / nama
                                      :op1 ""Laredo""))))"
"# ::id 44
# ::annotator indoamrbart-mbart-fted
# ::snt Pasar chip AS diperkirakan akan menurun 2,1 persen tahun ini, kemudian tumbuh 15,7 persen pada tahun 2004.
(z0 / estimasi-01
    :ARG1 (z1 / turun-01
              :ARG1 (z2 / chip
                        :mod (z3 / negara
                                 :wiki ""UnitedStates""
                                 :name (z4 / nama
                                           :op1 ""U.S."")))
              :ARG2 (z5 / entitas-persentase)
              :time (z6 / tahun
                        :mod (z7 / ini)))
    :time (z8 / entitas-tanggal))"
"# ::id 45
# ::annotator indoamrbart-mbart-fted
# ::snt Kelompok ini akan dipimpin oleh pejabat Departemen Luar Negeri John S. Wolf, yang telah bertugas di Australia, Vietnam, Yunani dan Pakistan.
(z0 / kepala-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""John""
                        :op2 ""S.""
                        :op3 ""Wolf"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1-of (z4 / memiliki-peran-org-91
                                        :ARG2 (z5 / resmi
                                                  :topic (z6 / asing)))))
    :ARG1 (z7 / grup
              :wiki -
              :name (z8 / nama
                        :op1 ""Kelompok""
                        :op2 ""S.""
                        :op3 ""Wolf""))
    :time (z9 / sudah
              :op1 (z10 / bertugas-01
                        :ARG0 z7
                        :location (z11 / dan
                                       :op1 (z12 / negara
                                                 :wiki ""Australia""
                                                 :name (z13 / nama
                                                            :op1 ""Australia""))
                                       :op2 (z14 / negara
                                                 :wiki ""Vietnam""
                                                 :name (z15 / nama
                                                            :op1 ""Vietnam""))
                                       :op3 (z16 / negara
                                                 :wiki ""Greece""
                                                 :name (z17 / nama
                                                            :op1 ""Yunani""))
                                       :op4 (z18 / negara
                                                 :wiki ""Pakistan""
                                                 :name (z19 / nama
                                                            :op1 ""Pakistan""))))))"
"# ::id 46
# ::annotator indoamrbart-mbart-fted
# ::snt Komisi harus mengerjakan rincian rencana tersebut, tetapi rata-rata pelanggan perumahan yang membayar $ 840 setahun akan mendapatkan penghematan sekitar $ 30 per tahun.
(z0 / kontras-01
    :ARG1 (z1 / obligasi-01
              :ARG1 (z2 / orang
                        :ARG0 (z3 / Komisi))
              :ARG2 (z4 / kerja-01
                        :ARG0 z2
                        :ARG1 (z5 / detil
                                  :poss (z6 / rencana
                                            :mod (z7 / itu)))))
    :ARG2 (z8 / mendapat-01
              :ARG0 (z9 / pelanggan
                        :mod (z10 / perumahan)
                        :ARG1-of (z11 / rata-rata-01))
              :ARG1 (z12 / penghematan
                         :mod (z13 / sekitar
                                   :op1 (z14 / entitas-laju-91
                                             :ARG1 (z15 / kuantitas-moneter
                                                        :unit (z16 / dolar))
                                             :ARG2 (z17 / kuantitas-sementara
                                                        :unit (z18 / tahun)))))
              :frequency (z19 / entitas-laju-91
                              :ARG4 (z20 / kuantitas-sementara
                                         :unit (z21 / tahun)))))"
"# ::id 47
# ::annotator indoamrbart-mbart-fted
# ::snt Perusahaan telah mengatakan berencana untuk menyatakan kembali pendapatannya untuk tahun 2000 hingga 2002.
(z0 / mengatakan-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / berencana-01
              :ARG0 z1
              :ARG1 (z3 / balik-01
                        :ARG0 z1
                        :ARG1 (z4 / pendapatan
                                  :poss (z5 / dia))
                        :time (z6 / entitas-tanggal)
                        :time (z7 / sampai
                                  :op1 (z8 / entitas-tanggal)))))"
"# ::id 48
# ::annotator indoamrbart-mbart-fted
# ::snt Hasil dari pembuat minuman ringan No. 2 Pepsico Inc. Pep.n kemungkinan besar menjadi sorotan.
(z0 / kemungkinan-01
    :ARG1 (z1 / sorotan-01
              :ARG0 (z2 / perusahaan
                        :wiki -
                        :name (z3 / nama
                                  :op1 ""Pepsico""
                                  :op2 ""Inc.""))
              :ARG1 (z4 / hasil
                        :mod (z5 / minuman
                                 :mod (z6 / ringan))
                        :poss (z7 / perusahaan
                                  :wiki -
                                  :name (z8 / nama
                                            :op1 ""Pepsico""
                                            :op2 ""Inc."")))))"
"# ::id 49
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Hasilnya adalah paket keseluruhan yang akan memberikan pertumbuhan ekonomi yang signifikan bagi karyawan kami selama empat tahun ke depan.""""""
(z0 / hadir-01
    :ARG1 (z1 / paket
              :mod (z2 / keseluruhan)
              :ARG0-of (z3 / memberi-01
                           :ARG1 (z4 / bertambah-01
                                     :mod (z5 / ekonomi)
                                     :ARG1 (z6 / signifikan))
                           :ARG2 (z7 / orang
                                     :ARG0-of (z8 / memiliki-peran-rel-91
                                                  :ARG1-of (z9 / kita)
                                                  :ARG2 (z10 / karyawan)))
                           :time (z11 / setelah
                                      :op1 (z12 / sekarang)
                                      :quant (z13 / kuantitas-sementara
                                                  :unit (z14 / tahun))))))"
"# ::id 50
# ::annotator indoamrbart-mbart-fted
# ::snt Walmart mengatakan akan memeriksa semua jutaan pekerja rumah tangga untuk memastikan mereka dipekerjakan secara hukum.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Walmart""))
    :ARG1 (z3 / periksa-01
              :ARG0 z1
              :ARG1 (z4 / orang
                        :ARG0-of (z5 / bekerja-01
                                     :ARG1 (z6 / rumah-tangga))
                        :mod (z7 / semua))
              :purpose (z8 / memastikan-01
                           :ARG0 z1
                           :ARG1 (z9 / mempekerjakan-01
                                     :ARG1 (z10 / mereka)
                                     :manner (z11 / hukum)))))"
"# ::id 51
# ::annotator indoamrbart-mbart-fted
# ::snt Lagu -lagunya ditawarkan untuk masing-masing 99 sen, atau $ 9,99 untuk sebuah album.
(z0 / atau
    :op1 (z1 / menawarkan-01
             :ARG0 (z2 / lagu
                       :mod (z3 / keduanya))
             :ARG1 (z4 / entitas-laju-91
                       :ARG2 (z5 / kuantitas-moneter
                                 :unit (z6 / sen))))
    :op2 (z7 / menawarkan-01
             :ARG0 (z8 / lagu
                       :mod (z9 / keduanya))
             :ARG1 (z10 / album)))"
"# ::id 52
# ::annotator indoamrbart-mbart-fted
# ::snt Namun, pembicaraan itu diremehkan oleh PBL yang mengatakan itu hanya akan fokus pada pembelian yang lebih kecil yang segera menjadi pendapatan dan akresi arus kas.
(z0 / meremehkan-01
    :ARG0 (z1 / perusahaan
              :wiki ""PBL""
              :name (z2 / nama
                        :op1 ""PBL""))
    :ARG1 (z3 / bicara-01)
    :manner (z4 / mengatakan-01
                :ARG0 z1
                :ARG1 (z5 / fokus-01
                          :ARG0 z3
                          :ARG1 (z6 / beli-01
                                    :mod (z7 / lebih))
                          :time (z8 / segera
                                    :op1 (z9 / menjadi-04
                                             :ARG1 (z10 / dan
                                                        :op1 (z11 / pendapatan)
